Expert name,Domain,Domain skills,Years of experience,Previous interviews,Qualifications,Publications,Communication,Professionality,Expert Number of Skills,Expert ID
Dr. Krishna Singh,"Aerospace & Aeronautics, Armaments & Combat Engineering","Propulsion Systems, Material Science, Aerodynamics, CAD & Simulation, Flight Mechanics, Explosive Chemistry, Ballistics",12,5,PhD,20,8.0,9.0,7,001
Dr. Aarav Kaur,Aerospace & Aeronautics,"Flight Mechanics, Propulsion Systems, Material Science, Aerodynamics, CAD & Simulation",10,4,PhD,15,7.0,8.0,5,002
Dr. Anya Gupta,"Electronics & Communication, Aerospace & Aeronautics","Embedded Systems, Secure Communication, Antenna Design, Electronic Warfare, RF Engineering, Aerodynamics, Flight Mechanics, Propulsion Systems, CAD & Simulation, Material Science",15,6,PhD,25,9.0,10.0,10,003
Dr. Kaitlyn Bajaj,"Armaments & Combat Engineering, Cybersecurity & Information Technology","Testing & Validation, Explosive Chemistry, Ballistics, Mechanical Design, Systems Integration, Ethical Hacking",12,5,PhD,18,8.0,9.0,6,004
Dr. Aisha Jaiswal,"Aerospace & Aeronautics, Simulation & Training","Propulsion Systems, Aerodynamics, CAD & Simulation, Flight Mechanics, Material Science, Flight Simulation, Scenario Development, Simulation Modeling, Game Design, Virtual Reality (VR)",10,4,PhD,12,7.0,8.0,10,005
Dr. Yash Sharma,"Naval Systems, Energy Systems, Materials & Metallurgy","Submarine Technology, Weapon Integration, Marine Engineering, Hydrodynamics, Sonar Technology, Renewable Energy, Directed Energy, Thermal Management, Power Electronics, Battery Technology, Failure Analysis",12,5,PhD,20,8.0,9.0,11,006
Dr. Lakshmi Patel,"Robotics & Autonomous Systems, Life Sciences","Path Planning, Control Systems, Sensors & Actuators, Robotics Engineering, AI & Machine Learning, Biomedical Engineering, Environmental Science",15,6,PhD,25,9.0,10.0,7,007
Dr. Eshaan Desai,"Aerospace & Aeronautics, Nuclear Technology","Material Science, CAD & Simulation, Flight Mechanics, Propulsion Systems, Aerodynamics, Safety Protocols, Radiation Protection, Nuclear Physics, Nuclear Engineering",10,4,PhD,15,7.0,8.0,9,008
Dr. Rohan Kumar,"Guidance & Control Systems, Chemical & Biological Defense","Control Theory, Algorithm Development, Embedded Systems, Inertial Navigation, Sensor Fusion, Protective Gear Design, Chemical Engineering, Detection Systems, Biotechnology",12,5,PhD,20,8.0,9.0,9,009
Dr. Anjali Rao,"Energy Systems, Electronics & Communication","Power Electronics, Battery Technology, Thermal Management, Directed Energy, Renewable Energy, Antenna Design, Secure Communication, RF Engineering",15,3,PhD,12,8.0,9.0,8,010
Dr. Kavya Iyer,"Missile & Strategic Systems, Life Sciences","System Integration, Propulsion Technology, Simulation & Modeling, Guidance & Control, Aerodynamics, Physiology",12,7,PhD,15,9.0,8.0,6,011
Dr. Riya Jain,"Simulation & Training, Guidance & Control Systems","Flight Simulation, Virtual Reality (VR), Simulation Modeling, Game Design, Scenario Development, Algorithm Development, Embedded Systems",8,3,PhD,8,8.0,9.0,7,012
Dr. Vedant Aggarwal,"Energy Systems, Guidance & Control Systems, Armaments & Combat Engineering","Battery Technology, Renewable Energy, Directed Energy, Thermal Management, Power Electronics, Embedded Systems, Sensor Fusion, Control Theory, Inertial Navigation, Algorithm Development, Systems Integration",10,5,PhD,12,9.0,8.0,11,013
Dr. Pooja Maheshwari,"Electronics & Communication, Energy Systems","RF Engineering, Antenna Design, Embedded Systems, Secure Communication, Electronic Warfare, Battery Technology",12,6,PhD,10,8.0,9.0,6,014
